"","vacc_seq","vacc_date","n","vacc_type"
"49","FirstVaccinationDoseDate",2021-11-07,860,"COVID-19"
"50","FirstVaccinationDoseDate",2021-11-14,900,"COVID-19"
"51","FirstVaccinationDoseDate",2021-11-21,910,"COVID-19"
"52","FirstVaccinationDoseDate",2021-11-28,980,"COVID-19"
"53","FirstVaccinationDoseDate",2021-12-05,1130,"COVID-19"
"54","FirstVaccinationDoseDate",2021-12-12,1550,"COVID-19"
"55","FirstVaccinationDoseDate",2021-12-19,1480,"COVID-19"
"56","FirstVaccinationDoseDate",2021-12-26,890,"COVID-19"
"57","FirstVaccinationDoseDate",2022-01-02,1130,"COVID-19"
"58","FirstVaccinationDoseDate",2022-01-09,1060,"COVID-19"
"59","FirstVaccinationDoseDate",2022-01-16,840,"COVID-19"
"60","FirstVaccinationDoseDate",2022-01-23,780,"COVID-19"
"61","FirstVaccinationDoseDate",2022-01-30,520,"COVID-19"
"62","FirstVaccinationDoseDate",2022-02-06,320,"COVID-19"
"63","FirstVaccinationDoseDate",2022-02-13,230,"COVID-19"
"64","FirstVaccinationDoseDate",2022-02-20,270,"COVID-19"
"65","FirstVaccinationDoseDate",2022-02-27,170,"COVID-19"
"66","FirstVaccinationDoseDate",2022-03-06,170,"COVID-19"
"67","FirstVaccinationDoseDate",2022-03-13,180,"COVID-19"
"68","FirstVaccinationDoseDate",2022-03-20,160,"COVID-19"
"69","FirstVaccinationDoseDate",2022-03-27,100,"COVID-19"
"70","SecondVaccinationDoseDate",2020-12-27,1260,"COVID-19"
"71","SecondVaccinationDoseDate",2021-01-03,36380,"COVID-19"
"72","SecondVaccinationDoseDate",2021-01-10,6830,"COVID-19"
"73","SecondVaccinationDoseDate",2021-01-17,620,"COVID-19"
"74","SecondVaccinationDoseDate",2021-01-24,570,"COVID-19"
"75","SecondVaccinationDoseDate",2021-01-31,780,"COVID-19"
"76","SecondVaccinationDoseDate",2021-02-07,1510,"COVID-19"
"77","SecondVaccinationDoseDate",2021-02-14,2000,"COVID-19"
"78","SecondVaccinationDoseDate",2021-02-21,6880,"COVID-19"
"79","SecondVaccinationDoseDate",2021-02-28,20350,"COVID-19"
"80","SecondVaccinationDoseDate",2021-03-07,29470,"COVID-19"
"81","SecondVaccinationDoseDate",2021-03-14,38970,"COVID-19"
"82","SecondVaccinationDoseDate",2021-03-21,106690,"COVID-19"
"83","SecondVaccinationDoseDate",2021-03-28,154000,"COVID-19"
"84","SecondVaccinationDoseDate",2021-04-04,190200,"COVID-19"
"85","SecondVaccinationDoseDate",2021-04-11,223220,"COVID-19"
"86","SecondVaccinationDoseDate",2021-04-18,238570,"COVID-19"
"87","SecondVaccinationDoseDate",2021-04-25,240830,"COVID-19"
"88","SecondVaccinationDoseDate",2021-05-02,209760,"COVID-19"
"89","SecondVaccinationDoseDate",2021-05-09,214200,"COVID-19"
"90","SecondVaccinationDoseDate",2021-05-16,219550,"COVID-19"
"91","SecondVaccinationDoseDate",2021-05-23,224530,"COVID-19"
"92","SecondVaccinationDoseDate",2021-05-30,173450,"COVID-19"
"93","SecondVaccinationDoseDate",2021-06-06,127500,"COVID-19"
"94","SecondVaccinationDoseDate",2021-06-13,63700,"COVID-19"
"95","SecondVaccinationDoseDate",2021-06-20,25920,"COVID-19"
"96","SecondVaccinationDoseDate",2021-06-27,17800,"COVID-19"
"97","SecondVaccinationDoseDate",2021-07-04,14730,"COVID-19"
"98","SecondVaccinationDoseDate",2021-07-11,14770,"COVID-19"
"99","SecondVaccinationDoseDate",2021-07-18,12460,"COVID-19"
"100","SecondVaccinationDoseDate",2021-07-25,11360,"COVID-19"
"101","SecondVaccinationDoseDate",2021-08-01,10810,"COVID-19"
"102","SecondVaccinationDoseDate",2021-08-08,10570,"COVID-19"
"103","SecondVaccinationDoseDate",2021-08-15,9600,"COVID-19"
"104","SecondVaccinationDoseDate",2021-08-22,8090,"COVID-19"
"105","SecondVaccinationDoseDate",2021-08-29,6480,"COVID-19"
"106","SecondVaccinationDoseDate",2021-09-05,5500,"COVID-19"
"107","SecondVaccinationDoseDate",2021-09-12,4420,"COVID-19"
"108","SecondVaccinationDoseDate",2021-09-19,3640,"COVID-19"
"109","SecondVaccinationDoseDate",2021-09-26,2900,"COVID-19"
"110","SecondVaccinationDoseDate",2021-10-03,2500,"COVID-19"
"111","SecondVaccinationDoseDate",2021-10-10,2240,"COVID-19"
"112","SecondVaccinationDoseDate",2021-10-17,2060,"COVID-19"
"113","SecondVaccinationDoseDate",2021-10-24,1800,"COVID-19"
"114","SecondVaccinationDoseDate",2021-10-31,1730,"COVID-19"
"115","SecondVaccinationDoseDate",2021-11-07,1920,"COVID-19"
"116","SecondVaccinationDoseDate",2021-11-14,1810,"COVID-19"
"117","SecondVaccinationDoseDate",2021-11-21,1710,"COVID-19"
"118","SecondVaccinationDoseDate",2021-11-28,1790,"COVID-19"
"119","SecondVaccinationDoseDate",2021-12-05,1740,"COVID-19"
"120","SecondVaccinationDoseDate",2021-12-12,2370,"COVID-19"
"121","SecondVaccinationDoseDate",2021-12-19,2430,"COVID-19"
"122","SecondVaccinationDoseDate",2021-12-26,1210,"COVID-19"
"123","SecondVaccinationDoseDate",2022-01-02,1590,"COVID-19"
"124","SecondVaccinationDoseDate",2022-01-09,1440,"COVID-19"
"125","SecondVaccinationDoseDate",2022-01-16,1100,"COVID-19"
"126","SecondVaccinationDoseDate",2022-01-23,1040,"COVID-19"
"127","SecondVaccinationDoseDate",2022-01-30,800,"COVID-19"
"128","SecondVaccinationDoseDate",2022-02-06,710,"COVID-19"
"129","SecondVaccinationDoseDate",2022-02-13,600,"COVID-19"
"130","SecondVaccinationDoseDate",2022-02-20,590,"COVID-19"
"131","SecondVaccinationDoseDate",2022-02-27,530,"COVID-19"
"132","SecondVaccinationDoseDate",2022-03-06,550,"COVID-19"
"133","SecondVaccinationDoseDate",2022-03-13,560,"COVID-19"
"134","SecondVaccinationDoseDate",2022-03-20,570,"COVID-19"
"135","SecondVaccinationDoseDate",2022-03-27,340,"COVID-19"
"136","ThirdVaccinationDoseDate",2021-02-28,30,"COVID-19"
"137","ThirdVaccinationDoseDate",2021-03-07,20,"COVID-19"
"138","ThirdVaccinationDoseDate",2021-03-14,20,"COVID-19"
"139","ThirdVaccinationDoseDate",2021-03-21,40,"COVID-19"
"140","ThirdVaccinationDoseDate",2021-03-28,50,"COVID-19"
"141","ThirdVaccinationDoseDate",2021-04-04,50,"COVID-19"
"142","ThirdVaccinationDoseDate",2021-04-11,70,"COVID-19"
"143","ThirdVaccinationDoseDate",2021-04-18,70,"COVID-19"
"144","ThirdVaccinationDoseDate",2021-04-25,80,"COVID-19"
"145","ThirdVaccinationDoseDate",2021-05-02,130,"COVID-19"
"146","ThirdVaccinationDoseDate",2021-05-09,70,"COVID-19"
"147","ThirdVaccinationDoseDate",2021-05-16,160,"COVID-19"
"148","ThirdVaccinationDoseDate",2021-05-23,120,"COVID-19"
"149","ThirdVaccinationDoseDate",2021-05-30,100,"COVID-19"
"150","ThirdVaccinationDoseDate",2021-06-06,100,"COVID-19"
"151","ThirdVaccinationDoseDate",2021-06-13,140,"COVID-19"
"152","ThirdVaccinationDoseDate",2021-06-20,100,"COVID-19"
"153","ThirdVaccinationDoseDate",2021-06-27,120,"COVID-19"
"154","ThirdVaccinationDoseDate",2021-07-04,60,"COVID-19"
"155","ThirdVaccinationDoseDate",2021-07-11,60,"COVID-19"
"156","ThirdVaccinationDoseDate",2021-07-18,50,"COVID-19"
"157","ThirdVaccinationDoseDate",2021-07-25,40,"COVID-19"
"158","ThirdVaccinationDoseDate",2021-08-01,60,"COVID-19"
"159","ThirdVaccinationDoseDate",2021-08-08,80,"COVID-19"
"160","ThirdVaccinationDoseDate",2021-08-15,70,"COVID-19"
"161","ThirdVaccinationDoseDate",2021-08-22,60,"COVID-19"
"162","ThirdVaccinationDoseDate",2021-08-29,60,"COVID-19"
"163","ThirdVaccinationDoseDate",2021-09-05,130,"COVID-19"
"164","ThirdVaccinationDoseDate",2021-09-12,2070,"COVID-19"
"165","ThirdVaccinationDoseDate",2021-09-19,35370,"COVID-19"
"166","ThirdVaccinationDoseDate",2021-09-26,91380,"COVID-19"
"167","ThirdVaccinationDoseDate",2021-10-03,132250,"COVID-19"
"168","ThirdVaccinationDoseDate",2021-10-10,149870,"COVID-19"
"169","ThirdVaccinationDoseDate",2021-10-17,167740,"COVID-19"
"170","ThirdVaccinationDoseDate",2021-10-24,168210,"COVID-19"
"171","ThirdVaccinationDoseDate",2021-10-31,196280,"COVID-19"
"172","ThirdVaccinationDoseDate",2021-11-07,226120,"COVID-19"
"173","ThirdVaccinationDoseDate",2021-11-14,225110,"COVID-19"
"174","ThirdVaccinationDoseDate",2021-11-21,227410,"COVID-19"
"175","ThirdVaccinationDoseDate",2021-11-28,218530,"COVID-19"
"176","ThirdVaccinationDoseDate",2021-12-05,199900,"COVID-19"
"177","ThirdVaccinationDoseDate",2021-12-12,202270,"COVID-19"
"178","ThirdVaccinationDoseDate",2021-12-19,126620,"COVID-19"
"179","ThirdVaccinationDoseDate",2021-12-26,38990,"COVID-19"
"180","ThirdVaccinationDoseDate",2022-01-02,34840,"COVID-19"
"181","ThirdVaccinationDoseDate",2022-01-09,20200,"COVID-19"
"182","ThirdVaccinationDoseDate",2022-01-16,9530,"COVID-19"
"183","ThirdVaccinationDoseDate",2022-01-23,8350,"COVID-19"
"184","ThirdVaccinationDoseDate",2022-01-30,5300,"COVID-19"
"185","ThirdVaccinationDoseDate",2022-02-06,3980,"COVID-19"
"186","ThirdVaccinationDoseDate",2022-02-13,3240,"COVID-19"
"187","ThirdVaccinationDoseDate",2022-02-20,2930,"COVID-19"
"188","ThirdVaccinationDoseDate",2022-02-27,2450,"COVID-19"
"189","ThirdVaccinationDoseDate",2022-03-06,2080,"COVID-19"
"190","ThirdVaccinationDoseDate",2022-03-13,1920,"COVID-19"
"191","ThirdVaccinationDoseDate",2022-03-20,2080,"COVID-19"
"192","ThirdVaccinationDoseDate",2022-03-27,1370,"COVID-19"
"193","FluVaccinationDate202021",2020-08-30,11050,"Influenza"
"194","FluVaccinationDate202021",2020-09-06,57140,"Influenza"
"195","FluVaccinationDate202021",2020-09-13,131800,"Influenza"
"196","FluVaccinationDate202021",2020-09-20,193840,"Influenza"
"197","FluVaccinationDate202021",2020-09-27,206070,"Influenza"
"198","FluVaccinationDate202021",2020-10-04,213190,"Influenza"
"199","FluVaccinationDate202021",2020-10-11,173180,"Influenza"
"200","FluVaccinationDate202021",2020-10-18,126500,"Influenza"
"201","FluVaccinationDate202021",2020-10-25,77150,"Influenza"
"202","FluVaccinationDate202021",2020-11-01,69670,"Influenza"
"203","FluVaccinationDate202021",2020-11-08,56140,"Influenza"
"204","FluVaccinationDate202021",2020-11-15,53200,"Influenza"
"205","FluVaccinationDate202021",2020-11-22,47580,"Influenza"
"206","FluVaccinationDate202021",2020-11-29,76170,"Influenza"
"207","FluVaccinationDate202021",2020-12-06,100050,"Influenza"
"208","FluVaccinationDate202021",2020-12-13,62310,"Influenza"
"209","FluVaccinationDate202021",2020-12-20,19420,"Influenza"
"210","FluVaccinationDate202021",2020-12-27,7750,"Influenza"
"211","FluVaccinationDate202021",2021-01-03,22450,"Influenza"
"212","FluVaccinationDate202021",2021-01-10,31020,"Influenza"
"213","FluVaccinationDate202021",2021-01-17,21080,"Influenza"
"214","FluVaccinationDate202021",2021-01-24,11700,"Influenza"
"215","FluVaccinationDate202021",2021-01-31,6110,"Influenza"
"216","FluVaccinationDate202021",2021-02-07,3430,"Influenza"
"217","FluVaccinationDate202021",2021-02-14,2480,"Influenza"
"218","FluVaccinationDate202021",2021-02-21,1650,"Influenza"
"219","FluVaccinationDate202021",2021-02-28,1200,"Influenza"
"220","FluVaccinationDate202021",2021-03-07,1070,"Influenza"
"221","FluVaccinationDate202021",2021-03-14,660,"Influenza"
"222","FluVaccinationDate202021",2021-03-21,540,"Influenza"
"223","FluVaccinationDate202021",2021-03-28,290,"Influenza"
"224","FluVaccinationDate202122",2021-08-29,210,"Influenza"
"225","FluVaccinationDate202122",2021-09-05,46030,"Influenza"
"226","FluVaccinationDate202122",2021-09-12,124600,"Influenza"
"227","FluVaccinationDate202122",2021-09-19,185330,"Influenza"
"228","FluVaccinationDate202122",2021-09-26,204120,"Influenza"
"229","FluVaccinationDate202122",2021-10-03,212130,"Influenza"
"230","FluVaccinationDate202122",2021-10-10,214930,"Influenza"
"231","FluVaccinationDate202122",2021-10-17,183540,"Influenza"
"232","FluVaccinationDate202122",2021-10-24,139570,"Influenza"
"233","FluVaccinationDate202122",2021-10-31,131500,"Influenza"
"234","FluVaccinationDate202122",2021-11-07,111230,"Influenza"
"235","FluVaccinationDate202122",2021-11-14,94620,"Influenza"
"236","FluVaccinationDate202122",2021-11-21,78810,"Influenza"
"237","FluVaccinationDate202122",2021-11-28,63240,"Influenza"
"238","FluVaccinationDate202122",2021-12-05,46520,"Influenza"
"239","FluVaccinationDate202122",2021-12-12,30950,"Influenza"
"240","FluVaccinationDate202122",2021-12-19,14650,"Influenza"
"241","FluVaccinationDate202122",2021-12-26,3700,"Influenza"
"242","FluVaccinationDate202122",2022-01-02,5600,"Influenza"
"243","FluVaccinationDate202122",2022-01-09,7230,"Influenza"
"244","FluVaccinationDate202122",2022-01-16,5410,"Influenza"
"245","FluVaccinationDate202122",2022-01-23,4660,"Influenza"
"246","FluVaccinationDate202122",2022-01-30,2970,"Influenza"
"247","FluVaccinationDate202122",2022-02-06,2610,"Influenza"
"248","FluVaccinationDate202122",2022-02-13,1610,"Influenza"
"249","FluVaccinationDate202122",2022-02-20,1630,"Influenza"
"250","FluVaccinationDate202122",2022-02-27,1140,"Influenza"
"251","FluVaccinationDate202122",2022-03-06,970,"Influenza"
"252","FluVaccinationDate202122",2022-03-13,700,"Influenza"
"253","FluVaccinationDate202122",2022-03-20,480,"Influenza"
"254","FluVaccinationDate202122",2022-03-27,380,"Influenza"
