"","vacc_seq","vacc_date","n","vacc_type"
"47","FirstVaccinationDoseDate",2021-10-31,130,"COVID-19 vaccines"
"48","FirstVaccinationDoseDate",2021-11-07,140,"COVID-19 vaccines"
"49","FirstVaccinationDoseDate",2021-11-14,130,"COVID-19 vaccines"
"50","FirstVaccinationDoseDate",2021-11-21,110,"COVID-19 vaccines"
"51","FirstVaccinationDoseDate",2021-11-28,130,"COVID-19 vaccines"
"52","FirstVaccinationDoseDate",2021-12-05,140,"COVID-19 vaccines"
"53","FirstVaccinationDoseDate",2021-12-12,140,"COVID-19 vaccines"
"54","FirstVaccinationDoseDate",2021-12-19,120,"COVID-19 vaccines"
"55","FirstVaccinationDoseDate",2021-12-26,100,"COVID-19 vaccines"
"56","FirstVaccinationDoseDate",2022-01-02,120,"COVID-19 vaccines"
"57","FirstVaccinationDoseDate",2022-01-09,100,"COVID-19 vaccines"
"58","FirstVaccinationDoseDate",2022-01-16,80,"COVID-19 vaccines"
"59","FirstVaccinationDoseDate",2022-01-23,70,"COVID-19 vaccines"
"60","FirstVaccinationDoseDate",2022-01-30,40,"COVID-19 vaccines"
"61","FirstVaccinationDoseDate",2022-02-06,30,"COVID-19 vaccines"
"62","FirstVaccinationDoseDate",2022-02-13,20,"COVID-19 vaccines"
"63","FirstVaccinationDoseDate",2022-02-20,20,"COVID-19 vaccines"
"64","FirstVaccinationDoseDate",2022-02-27,10,"COVID-19 vaccines"
"65","FirstVaccinationDoseDate",2022-03-06,20,"COVID-19 vaccines"
"66","FirstVaccinationDoseDate",2022-03-13,20,"COVID-19 vaccines"
"67","FirstVaccinationDoseDate",2022-03-20,10,"COVID-19 vaccines"
"68","FirstVaccinationDoseDate",2022-03-27,10,"COVID-19 vaccines"
"69","SecondVaccinationDoseDate",2021-01-03,10,"COVID-19 vaccines"
"70","SecondVaccinationDoseDate",2021-02-21,30,"COVID-19 vaccines"
"71","SecondVaccinationDoseDate",2021-02-28,50,"COVID-19 vaccines"
"72","SecondVaccinationDoseDate",2021-03-07,60,"COVID-19 vaccines"
"73","SecondVaccinationDoseDate",2021-03-14,140,"COVID-19 vaccines"
"74","SecondVaccinationDoseDate",2021-03-21,240,"COVID-19 vaccines"
"75","SecondVaccinationDoseDate",2021-03-28,260,"COVID-19 vaccines"
"76","SecondVaccinationDoseDate",2021-04-04,290,"COVID-19 vaccines"
"77","SecondVaccinationDoseDate",2021-04-11,260,"COVID-19 vaccines"
"78","SecondVaccinationDoseDate",2021-04-18,260,"COVID-19 vaccines"
"79","SecondVaccinationDoseDate",2021-04-25,280,"COVID-19 vaccines"
"80","SecondVaccinationDoseDate",2021-05-02,380,"COVID-19 vaccines"
"81","SecondVaccinationDoseDate",2021-05-09,530,"COVID-19 vaccines"
"82","SecondVaccinationDoseDate",2021-05-16,580,"COVID-19 vaccines"
"83","SecondVaccinationDoseDate",2021-05-23,500,"COVID-19 vaccines"
"84","SecondVaccinationDoseDate",2021-05-30,430,"COVID-19 vaccines"
"85","SecondVaccinationDoseDate",2021-06-06,490,"COVID-19 vaccines"
"86","SecondVaccinationDoseDate",2021-06-13,530,"COVID-19 vaccines"
"87","SecondVaccinationDoseDate",2021-06-20,510,"COVID-19 vaccines"
"88","SecondVaccinationDoseDate",2021-06-27,520,"COVID-19 vaccines"
"89","SecondVaccinationDoseDate",2021-07-04,620,"COVID-19 vaccines"
"90","SecondVaccinationDoseDate",2021-07-11,1060,"COVID-19 vaccines"
"91","SecondVaccinationDoseDate",2021-07-18,1310,"COVID-19 vaccines"
"92","SecondVaccinationDoseDate",2021-07-25,1420,"COVID-19 vaccines"
"93","SecondVaccinationDoseDate",2021-08-01,1390,"COVID-19 vaccines"
"94","SecondVaccinationDoseDate",2021-08-08,1370,"COVID-19 vaccines"
"95","SecondVaccinationDoseDate",2021-08-15,1100,"COVID-19 vaccines"
"96","SecondVaccinationDoseDate",2021-08-22,920,"COVID-19 vaccines"
"97","SecondVaccinationDoseDate",2021-08-29,850,"COVID-19 vaccines"
"98","SecondVaccinationDoseDate",2021-09-05,690,"COVID-19 vaccines"
"99","SecondVaccinationDoseDate",2021-09-12,630,"COVID-19 vaccines"
"100","SecondVaccinationDoseDate",2021-09-19,500,"COVID-19 vaccines"
"101","SecondVaccinationDoseDate",2021-09-26,450,"COVID-19 vaccines"
"102","SecondVaccinationDoseDate",2021-10-03,440,"COVID-19 vaccines"
"103","SecondVaccinationDoseDate",2021-10-10,410,"COVID-19 vaccines"
"104","SecondVaccinationDoseDate",2021-10-17,390,"COVID-19 vaccines"
"105","SecondVaccinationDoseDate",2021-10-24,330,"COVID-19 vaccines"
"106","SecondVaccinationDoseDate",2021-10-31,260,"COVID-19 vaccines"
"107","SecondVaccinationDoseDate",2021-11-07,270,"COVID-19 vaccines"
"108","SecondVaccinationDoseDate",2021-11-14,270,"COVID-19 vaccines"
"109","SecondVaccinationDoseDate",2021-11-21,220,"COVID-19 vaccines"
"110","SecondVaccinationDoseDate",2021-11-28,230,"COVID-19 vaccines"
"111","SecondVaccinationDoseDate",2021-12-05,260,"COVID-19 vaccines"
"112","SecondVaccinationDoseDate",2021-12-12,290,"COVID-19 vaccines"
"113","SecondVaccinationDoseDate",2021-12-19,230,"COVID-19 vaccines"
"114","SecondVaccinationDoseDate",2021-12-26,120,"COVID-19 vaccines"
"115","SecondVaccinationDoseDate",2022-01-02,180,"COVID-19 vaccines"
"116","SecondVaccinationDoseDate",2022-01-09,150,"COVID-19 vaccines"
"117","SecondVaccinationDoseDate",2022-01-16,120,"COVID-19 vaccines"
"118","SecondVaccinationDoseDate",2022-01-23,110,"COVID-19 vaccines"
"119","SecondVaccinationDoseDate",2022-01-30,70,"COVID-19 vaccines"
"120","SecondVaccinationDoseDate",2022-02-06,80,"COVID-19 vaccines"
"121","SecondVaccinationDoseDate",2022-02-13,70,"COVID-19 vaccines"
"122","SecondVaccinationDoseDate",2022-02-20,60,"COVID-19 vaccines"
"123","SecondVaccinationDoseDate",2022-02-27,60,"COVID-19 vaccines"
"124","SecondVaccinationDoseDate",2022-03-06,50,"COVID-19 vaccines"
"125","SecondVaccinationDoseDate",2022-03-13,40,"COVID-19 vaccines"
"126","SecondVaccinationDoseDate",2022-03-20,30,"COVID-19 vaccines"
"127","SecondVaccinationDoseDate",2022-03-27,30,"COVID-19 vaccines"
"128","ThirdVaccinationDoseDate",2021-09-12,10,"COVID-19 vaccines"
"129","ThirdVaccinationDoseDate",2021-09-19,90,"COVID-19 vaccines"
"130","ThirdVaccinationDoseDate",2021-09-26,280,"COVID-19 vaccines"
"131","ThirdVaccinationDoseDate",2021-10-03,370,"COVID-19 vaccines"
"132","ThirdVaccinationDoseDate",2021-10-10,430,"COVID-19 vaccines"
"133","ThirdVaccinationDoseDate",2021-10-17,380,"COVID-19 vaccines"
"134","ThirdVaccinationDoseDate",2021-10-24,340,"COVID-19 vaccines"
"135","ThirdVaccinationDoseDate",2021-10-31,380,"COVID-19 vaccines"
"136","ThirdVaccinationDoseDate",2021-11-07,480,"COVID-19 vaccines"
"137","ThirdVaccinationDoseDate",2021-11-14,550,"COVID-19 vaccines"
"138","ThirdVaccinationDoseDate",2021-11-21,590,"COVID-19 vaccines"
"139","ThirdVaccinationDoseDate",2021-11-28,700,"COVID-19 vaccines"
"140","ThirdVaccinationDoseDate",2021-12-05,1070,"COVID-19 vaccines"
"141","ThirdVaccinationDoseDate",2021-12-12,5100,"COVID-19 vaccines"
"142","ThirdVaccinationDoseDate",2021-12-19,4540,"COVID-19 vaccines"
"143","ThirdVaccinationDoseDate",2021-12-26,1560,"COVID-19 vaccines"
"144","ThirdVaccinationDoseDate",2022-01-02,1420,"COVID-19 vaccines"
"145","ThirdVaccinationDoseDate",2022-01-09,930,"COVID-19 vaccines"
"146","ThirdVaccinationDoseDate",2022-01-16,530,"COVID-19 vaccines"
"147","ThirdVaccinationDoseDate",2022-01-23,370,"COVID-19 vaccines"
"148","ThirdVaccinationDoseDate",2022-01-30,280,"COVID-19 vaccines"
"149","ThirdVaccinationDoseDate",2022-02-06,250,"COVID-19 vaccines"
"150","ThirdVaccinationDoseDate",2022-02-13,180,"COVID-19 vaccines"
"151","ThirdVaccinationDoseDate",2022-02-20,150,"COVID-19 vaccines"
"152","ThirdVaccinationDoseDate",2022-02-27,130,"COVID-19 vaccines"
"153","ThirdVaccinationDoseDate",2022-03-06,130,"COVID-19 vaccines"
"154","ThirdVaccinationDoseDate",2022-03-13,90,"COVID-19 vaccines"
"155","ThirdVaccinationDoseDate",2022-03-20,110,"COVID-19 vaccines"
"156","ThirdVaccinationDoseDate",2022-03-27,60,"COVID-19 vaccines"
"157","FluVaccinationDate202021",2020-08-30,70,"Influenza vaccines"
"158","FluVaccinationDate202021",2020-09-06,290,"Influenza vaccines"
"159","FluVaccinationDate202021",2020-09-13,1130,"Influenza vaccines"
"160","FluVaccinationDate202021",2020-09-20,2400,"Influenza vaccines"
"161","FluVaccinationDate202021",2020-09-27,3530,"Influenza vaccines"
"162","FluVaccinationDate202021",2020-10-04,4930,"Influenza vaccines"
"163","FluVaccinationDate202021",2020-10-11,4830,"Influenza vaccines"
"164","FluVaccinationDate202021",2020-10-18,4080,"Influenza vaccines"
"165","FluVaccinationDate202021",2020-10-25,2860,"Influenza vaccines"
"166","FluVaccinationDate202021",2020-11-01,2780,"Influenza vaccines"
"167","FluVaccinationDate202021",2020-11-08,2520,"Influenza vaccines"
"168","FluVaccinationDate202021",2020-11-15,2490,"Influenza vaccines"
"169","FluVaccinationDate202021",2020-11-22,2020,"Influenza vaccines"
"170","FluVaccinationDate202021",2020-11-29,1800,"Influenza vaccines"
"171","FluVaccinationDate202021",2020-12-06,1560,"Influenza vaccines"
"172","FluVaccinationDate202021",2020-12-13,1290,"Influenza vaccines"
"173","FluVaccinationDate202021",2020-12-20,670,"Influenza vaccines"
"174","FluVaccinationDate202021",2020-12-27,450,"Influenza vaccines"
"175","FluVaccinationDate202021",2021-01-03,850,"Influenza vaccines"
"176","FluVaccinationDate202021",2021-01-10,830,"Influenza vaccines"
"177","FluVaccinationDate202021",2021-01-17,760,"Influenza vaccines"
"178","FluVaccinationDate202021",2021-01-24,640,"Influenza vaccines"
"179","FluVaccinationDate202021",2021-01-31,540,"Influenza vaccines"
"180","FluVaccinationDate202021",2021-02-07,470,"Influenza vaccines"
"181","FluVaccinationDate202021",2021-02-14,390,"Influenza vaccines"
"182","FluVaccinationDate202021",2021-02-21,380,"Influenza vaccines"
"183","FluVaccinationDate202021",2021-02-28,340,"Influenza vaccines"
"184","FluVaccinationDate202021",2021-03-07,270,"Influenza vaccines"
"185","FluVaccinationDate202021",2021-03-14,230,"Influenza vaccines"
"186","FluVaccinationDate202021",2021-03-21,210,"Influenza vaccines"
"187","FluVaccinationDate202021",2021-03-28,80,"Influenza vaccines"
"188","FluVaccinationDate202122",2021-08-29,10,"Influenza vaccines"
"189","FluVaccinationDate202122",2021-09-05,300,"Influenza vaccines"
"190","FluVaccinationDate202122",2021-09-12,1250,"Influenza vaccines"
"191","FluVaccinationDate202122",2021-09-19,1890,"Influenza vaccines"
"192","FluVaccinationDate202122",2021-09-26,2600,"Influenza vaccines"
"193","FluVaccinationDate202122",2021-10-03,3140,"Influenza vaccines"
"194","FluVaccinationDate202122",2021-10-10,3720,"Influenza vaccines"
"195","FluVaccinationDate202122",2021-10-17,3650,"Influenza vaccines"
"196","FluVaccinationDate202122",2021-10-24,3240,"Influenza vaccines"
"197","FluVaccinationDate202122",2021-10-31,3200,"Influenza vaccines"
"198","FluVaccinationDate202122",2021-11-07,2780,"Influenza vaccines"
"199","FluVaccinationDate202122",2021-11-14,2450,"Influenza vaccines"
"200","FluVaccinationDate202122",2021-11-21,2270,"Influenza vaccines"
"201","FluVaccinationDate202122",2021-11-28,2110,"Influenza vaccines"
"202","FluVaccinationDate202122",2021-12-05,1690,"Influenza vaccines"
"203","FluVaccinationDate202122",2021-12-12,1610,"Influenza vaccines"
"204","FluVaccinationDate202122",2021-12-19,880,"Influenza vaccines"
"205","FluVaccinationDate202122",2021-12-26,390,"Influenza vaccines"
"206","FluVaccinationDate202122",2022-01-02,590,"Influenza vaccines"
"207","FluVaccinationDate202122",2022-01-09,780,"Influenza vaccines"
"208","FluVaccinationDate202122",2022-01-16,600,"Influenza vaccines"
"209","FluVaccinationDate202122",2022-01-23,580,"Influenza vaccines"
"210","FluVaccinationDate202122",2022-01-30,410,"Influenza vaccines"
"211","FluVaccinationDate202122",2022-02-06,370,"Influenza vaccines"
"212","FluVaccinationDate202122",2022-02-13,350,"Influenza vaccines"
"213","FluVaccinationDate202122",2022-02-20,340,"Influenza vaccines"
"214","FluVaccinationDate202122",2022-02-27,320,"Influenza vaccines"
"215","FluVaccinationDate202122",2022-03-06,220,"Influenza vaccines"
"216","FluVaccinationDate202122",2022-03-13,180,"Influenza vaccines"
"217","FluVaccinationDate202122",2022-03-20,170,"Influenza vaccines"
"218","FluVaccinationDate202122",2022-03-27,100,"Influenza vaccines"
