"vacc_seq","vacc_date","n","vacc_type"
"dose1",2022-04-25,20,"c19"
"dose1",2022-05-02,20,"c19"
"dose1",2022-05-09,20,"c19"
"dose1",2022-05-16,20,"c19"
"dose1",2022-05-23,10,"c19"
"dose1",2022-05-30,10,"c19"
"dose1",2022-06-06,20,"c19"
"dose1",2022-06-13,10,"c19"
"dose1",2022-06-20,10,"c19"
"dose1",2022-06-27,10,"c19"
"dose1",2022-07-04,10,"c19"
"dose1",2022-07-11,10,"c19"
"dose1",2022-07-18,10,"c19"
"dose1",2022-07-25,10,"c19"
"dose1",2022-08-15,10,"c19"
"dose1",2022-08-22,20,"c19"
"dose2",2020-12-28,50,"c19"
"dose2",2021-01-04,140,"c19"
"dose2",2021-01-11,110,"c19"
"dose2",2021-01-18,190,"c19"
"dose2",2021-01-25,140,"c19"
"dose2",2021-02-01,850,"c19"
"dose2",2021-02-08,1100,"c19"
"dose2",2021-02-15,15540,"c19"
"dose2",2021-02-22,24930,"c19"
"dose2",2021-03-01,38260,"c19"
"dose2",2021-03-08,48850,"c19"
"dose2",2021-03-15,51540,"c19"
"dose2",2021-03-22,49360,"c19"
"dose2",2021-03-29,32280,"c19"
"dose2",2021-04-05,45110,"c19"
"dose2",2021-04-12,50860,"c19"
"dose2",2021-04-19,57950,"c19"
"dose2",2021-04-26,56400,"c19"
"dose2",2021-05-03,51380,"c19"
"dose2",2021-05-10,46420,"c19"
"dose2",2021-05-17,55240,"c19"
"dose2",2021-05-24,68160,"c19"
"dose2",2021-05-31,81910,"c19"
"dose2",2021-06-07,76500,"c19"
"dose2",2021-06-14,54540,"c19"
"dose2",2021-06-21,28630,"c19"
"dose2",2021-06-28,15840,"c19"
"dose2",2021-07-05,12060,"c19"
"dose2",2021-07-12,10510,"c19"
"dose2",2021-07-19,8520,"c19"
"dose2",2021-07-26,7080,"c19"
"dose2",2021-08-02,5320,"c19"
"dose2",2021-08-09,3260,"c19"
"dose2",2021-08-16,2340,"c19"
"dose2",2021-08-23,1580,"c19"
"dose2",2021-08-30,1080,"c19"
"dose2",2021-09-06,900,"c19"
"dose2",2021-09-13,840,"c19"
"dose2",2021-09-20,690,"c19"
"dose2",2021-09-27,450,"c19"
"dose2",2021-10-04,380,"c19"
"dose2",2021-10-11,410,"c19"
"dose2",2021-10-18,530,"c19"
"dose2",2021-10-25,370,"c19"
"dose2",2021-11-01,420,"c19"
"dose2",2021-11-08,360,"c19"
"dose2",2021-11-15,410,"c19"
"dose2",2021-11-22,340,"c19"
"dose2",2021-11-29,340,"c19"
"dose2",2021-12-06,350,"c19"
"dose2",2021-12-13,550,"c19"
"dose2",2021-12-20,310,"c19"
"dose2",2021-12-27,250,"c19"
"dose2",2022-01-03,330,"c19"
"dose2",2022-01-10,280,"c19"
"dose2",2022-01-17,310,"c19"
"dose2",2022-01-24,210,"c19"
"dose2",2022-01-31,170,"c19"
"dose2",2022-02-07,150,"c19"
"dose2",2022-02-14,150,"c19"
"dose2",2022-02-21,140,"c19"
"dose2",2022-02-28,110,"c19"
"dose2",2022-03-07,160,"c19"
"dose2",2022-03-14,130,"c19"
"dose2",2022-03-21,90,"c19"
"dose2",2022-03-28,80,"c19"
"dose2",2022-04-04,60,"c19"
"dose2",2022-04-11,50,"c19"
"dose2",2022-04-18,70,"c19"
"dose2",2022-04-25,70,"c19"
"dose2",2022-05-02,60,"c19"
"dose2",2022-05-09,60,"c19"
"dose2",2022-05-16,60,"c19"
"dose2",2022-05-23,60,"c19"
"dose2",2022-05-30,20,"c19"
"dose2",2022-06-06,40,"c19"
"dose2",2022-06-13,30,"c19"
"dose2",2022-06-20,30,"c19"
"dose2",2022-06-27,30,"c19"
"dose2",2022-07-04,30,"c19"
"dose2",2022-07-11,30,"c19"
"dose2",2022-07-18,30,"c19"
"dose2",2022-07-25,30,"c19"
"dose2",2022-08-01,30,"c19"
"dose2",2022-08-08,20,"c19"
"dose2",2022-08-15,20,"c19"
"dose3",2021-09-13,2300,"c19"
"dose3",2021-09-20,20020,"c19"
"dose3",2021-09-27,39950,"c19"
"dose3",2021-10-04,46700,"c19"
"dose3",2021-10-11,49800,"c19"
"dose3",2021-10-18,65100,"c19"
"dose3",2021-10-25,56410,"c19"
"dose3",2021-11-01,69540,"c19"
"dose3",2021-11-08,72770,"c19"
"dose3",2021-11-15,69960,"c19"
"dose3",2021-11-22,67020,"c19"
"dose3",2021-11-29,71900,"c19"
"dose3",2021-12-06,74740,"c19"
"dose3",2021-12-13,105260,"c19"
"dose3",2021-12-20,50220,"c19"
"dose3",2021-12-27,30370,"c19"
"dose3",2022-01-03,21290,"c19"
"dose3",2022-01-10,11070,"c19"
"dose3",2022-01-17,6660,"c19"
"dose3",2022-01-24,3870,"c19"
"dose3",2022-01-31,3380,"c19"
"dose3",2022-02-07,2790,"c19"
"dose3",2022-02-14,1590,"c19"
"dose3",2022-02-21,1130,"c19"
"dose3",2022-02-28,1030,"c19"
"dose3",2022-03-07,620,"c19"
"dose3",2022-03-14,650,"c19"
"dose3",2022-03-21,520,"c19"
"dose3",2022-03-28,550,"c19"
"dose3",2022-04-04,560,"c19"
"dose3",2022-04-11,370,"c19"
"dose3",2022-04-18,510,"c19"
"dose3",2022-04-25,620,"c19"
"dose3",2022-05-02,510,"c19"
"dose3",2022-05-09,440,"c19"
"dose3",2022-05-16,540,"c19"
"dose3",2022-05-23,380,"c19"
"dose3",2022-05-30,200,"c19"
"dose3",2022-06-06,320,"c19"
"dose3",2022-06-13,270,"c19"
"dose3",2022-06-20,290,"c19"
"dose3",2022-06-27,300,"c19"
"dose3",2022-07-04,330,"c19"
"dose3",2022-07-11,260,"c19"
"dose3",2022-07-18,200,"c19"
"dose3",2022-07-25,170,"c19"
"dose3",2022-08-01,130,"c19"
"dose3",2022-08-08,150,"c19"
"dose3",2022-08-15,150,"c19"
"dose3",2022-08-22,100,"c19"
